diseaseFromSourceMappedId,targetId
EFO_0020947,ENSG00000152270
EFO_0020947,ENSG00000110243
EFO_0020947,ENSG00000130173
EFO_0020947,ENSG00000285330
EFO_0020947,ENSG00000060566
EFO_0020947,ENSG00000132855
EFO_0020947,ENSG00000161649
EFO_0020947,ENSG00000084674
EFO_0020947,ENSG00000224389
EFO_0020947,ENSG00000149577
EFO_0020947,ENSG00000167772
EFO_0020947,ENSG00000171105
EFO_0020947,ENSG00000155158
EFO_0020947,ENSG00000110245
EFO_0020947,ENSG00000175445
EFO_0020947,ENSG00000174032
EFO_0020947,ENSG00000132170
EFO_0020947,ENSG00000166035
EFO_0020947,ENSG00000213398
EFO_0020947,ENSG00000115234
EFO_0020947,ENSG00000084734
EFO_0020947,ENSG00000123739
EFO_0020947,ENSG00000166819
EFO_0020947,ENSG00000213996
EFO_0020947,ENSG00000130164
EFO_0020947,ENSG00000010327
EFO_0020947,ENSG00000131482
EFO_0020947,ENSG00000127948
EFO_0020947,ENSG00000120889
EFO_0020947,ENSG00000145850
EFO_0020947,ENSG00000173366
EFO_0020947,ENSG00000010318
EFO_0020947,ENSG00000239732
EFO_0020947,ENSG00000115194
EFO_0020947,ENSG00000100426
EFO_0020947,ENSG00000158019
EFO_0020947,ENSG00000009950
