diseaseFromSourceMappedId,targetId
HP_0000924,ENSG00000169047
HP_0000924,ENSG00000099769
HP_0000924,ENSG00000155657
HP_0000924,ENSG00000166603
HP_0000924,ENSG00000154358
HP_0000924,ENSG00000140470
HP_0000924,ENSG00000116183
HP_0000924,ENSG00000142303
HP_0000924,ENSG00000169604
HP_0000924,ENSG00000171812
HP_0000924,ENSG00000156140
HP_0000924,ENSG00000140443
HP_0000924,ENSG00000137776
HP_0000924,ENSG00000113296
HP_0000924,ENSG00000102302
HP_0000924,ENSG00000169231
HP_0000924,ENSG00000197859
HP_0000924,ENSG00000138829
HP_0000924,ENSG00000196296
HP_0000924,ENSG00000168769
HP_0000924,ENSG00000143924
HP_0000924,ENSG00000136859
HP_0000924,ENSG00000138193
HP_0000924,ENSG00000143631
HP_0000924,ENSG00000162032
HP_0000924,ENSG00000106624
HP_0000924,ENSG00000066827
HP_0000924,ENSG00000010327
HP_0000924,ENSG00000171456
