diseaseFromSourceMappedId,targetId
MONDO_0005148,ENSG00000106633
MONDO_0005148,ENSG00000135100
MONDO_0005148,ENSG00000146830
MONDO_0005148,ENSG00000115290
MONDO_0005148,ENSG00000185002
MONDO_0005148,ENSG00000171456
MONDO_0005148,ENSG00000144357
MONDO_0005148,ENSG00000101076
MONDO_0005148,ENSG00000185950
MONDO_0005148,ENSG00000101752
MONDO_0005148,ENSG00000132170
MONDO_0005148,ENSG00000145730
MONDO_0005148,ENSG00000183908
MONDO_0005148,ENSG00000189077
MONDO_0005148,ENSG00000170315
MONDO_0005148,ENSG00000167772
